analysis_id,article_id,title,language,fr_applicable,angles_count,entities_count,datasets_count,fr_hits,nonfr_hits,fr_ratio,top_domains,locs_sample,keywords_sample
189,254,La sécheresse s’aggrave dans l’Orne : 18 communes visées par,fr,True,4,33,32,5,27,5/32,open.canada.ca|catalog.data.gov|data.gov.uk,Alençon|Bagnoles-de l’Orne-Normandie|Ciral,sécheresse Orne|historique climat|précipitations Orne|impact sécheresse|changement climatique
190,255,Un projet à 100 millions d'euros pour offrir de l'énergie,fr,True,5,44,40,5,35,5/40,open.canada.ca|catalog.data.gov|ec.europa.eu,Caen|Caen rive droite|Calvados,zéro enfouissement|déchets ménagers|recyclage|gestion des déchets|économie circulaire
191,256,"Moustiques tigres : ""Toute la France hexagonale va être touchée,",fr,True,5,10,40,0,40,0/40,open.canada.ca|catalog.data.gov|data.humdata.org,Asie du Sud-Est|Bretagne|France hexagonale,moustique tigre|cartographie moustique|progression moustique|France moustique|Aedes albopictus
192,257,"""Échelon essentiel face au sentiment d’abandon"" : comment la Région",fr,True,5,96,40,6,34,6/40,open.canada.ca|catalog.data.gov|data.gov.uk,Alençon|Cerisé|Condé-sur-Sarthe,investissements régionaux|économie Normandie|développement local|impact économique|projets infrastructure
193,258,"Des intentions d'embauche en baisse, mais des difficultés de recrutement",fr,True,5,24,40,7,33,7/40,open.canada.ca|catalog.data.gov|insee.fr,Alençon|Normandie|Orne,emploi Alençon|services aux particuliers|marché du travail|économie locale|création d'emplois
194,259,"Société Justice ""Le plus gros scandale de corruption de l’histoire",fr,True,5,22,40,0,40,0/40,open.canada.ca|catalog.data.gov|data.gov.uk,Libye|Paris|Tripoli,affaires Sarkozy|procès Sarkozy|justice française|corruption politique|tribunaux français
195,260,"‘Social apnoea’: sleep disorder could worsen at weekends, research suggests",en,False,5,25,40,,,,catalog.data.gov|open.canada.ca|data.gov.uk,Australia|London,sleep apnoea|weekend warriors|sleep disorders|health risks|sleep study
196,261,How HISD’s Sunrise Centers are helping underserved students HOUSTON –,en,False,5,26,40,,,,catalog.data.gov|open.canada.ca|data.gov.uk,Broadway|HISD|HOUSTON,HISD impact|community mapping|education data|Houston schools|visualization tools
197,262,opinion A curfew won't save Indianapolis teens. Investment in them,en,False,5,16,40,,,,open.canada.ca|catalog.data.gov|data.gov.uk,Baltimore|Fountain Square|Indiana,youth programs|Indianapolis|service gaps|community resources|program accessibility
198,263,Dramatic rise in whale and dolphin strandings in Scotland Research,en,False,5,32,40,,,,catalog.data.gov|open.canada.ca|data.gov.uk,Europe|Ireland|Norfolk,marine noise|ocean sound|human impact|marine life|acoustic pollution
